Key,en,es,ar,fr
Download,Download,Descargar,تحميل,Télécharger
Are you sure to delete this language?,Are you sure to delete this language?,¿Estás seguro de eliminar este idioma?,هل أنت متأكد من حذف هذه اللغة؟,Êtes-vous sûr de vouloir supprimer cette langue ?
Language Keywords of English,Language Keywords of English,Palabras clave del idioma inglés,الكلمات الرئيسية في اللغة الإنجليزية,Mots-clés de la langue anglaise
Update Gateway,Update Gateway,Actualizar puerta de enlace,بوابة التحديث,Mettre à jour la passerelle
Add Automatic Gateway (Add Money),Add Automatic Gateway (Add Money),Agregar pasarela automática (Agregar dinero),إضافة بوابة أوتوماتيكية (إضافة أموال),Ajouter une passerelle automatique (ajouter de l'argent)
gatewayImage,gatewayImage,Imagen de puerta de enlace,بوابة الصورة,Image de passerelle
Gateway Image,Gateway Image,Imagen de puerta de enlace,صورة البوابة,Image de la passerelle
Genarate Fields,Genarate Fields,Campos Generados,إنشاء الحقول,Générer des champs
2FA Settings,2FA Settings,Configuración de 2FA,إعدادات 2FA,Paramètres 2FA
Disable Two Factor Authenticator,Disable Two Factor Authenticator,Deshabilitar el autenticador de dos factores,تعطيل المصادقة الثنائية,Désactiver l'authentificateur à deux facteurs
Don,Don,Don,اِتَّشَح,Enfiler
t login in your account.,t login in your account.,t inicia sesión en tu cuenta.,لتسجيل الدخول إلى حسابك.,ne vous connectez pas à votre compte.
Enable Two Factor Authenticator,Enable Two Factor Authenticator,Habilitar el autenticador de dos factores,تمكين المصادقة الثنائية,Activer l'authentificateur à deux facteurs
2FA (Powered by google)?,2FA (Powered by google)?,¿2FA (con tecnología de Google)?,2FA (مدعوم من جوجل)؟,2FA (propulsé par Google) ?
Save & Change,Save & Change,Guardar y cambiar,حفظ وتغيير,Enregistrer et modifier
Profile Image:,Profile Image:,Imagen de perfil:,صورة الملف الشخصي:,Image de profil :
Select State,Select State,Seleccione Estado,اختر الولاية,Sélectionnez l'état
Select City,Select City,Seleccionar ciudad,اختر المدينة,Sélectionnez la ville
Browser Push Notification Configuration,Browser Push Notification Configuration,Configuración de notificaciones push del navegador,تكوين إشعارات الدفع للمتصفح,Configuration des notifications push du navigateur
Method,Method,Método,طريقة,Méthode
Select Method,Select Method,Seleccionar método,اختر الطريقة,Sélectionnez la méthode
Instance ID,Instance ID,ID de instancia,معرف المثيل,ID d'instance
Primary key,Primary key,Clave principal,المفتاح الأساسي,Clé primaire
Broadcasting/ Internal Notification Configuration,Broadcasting/ Internal Notification Configuration,Configuración de transmisión/notificación interna,تكوين البث/الإشعار الداخلي,Configuration de la diffusion/notification interne
APP ID,APP ID,ID de la aplicación,معرف التطبيق,ID de l'application
Secret key,Secret key,Clave secreta,المفتاح السري,Clé secrète
Cluster,Cluster,Grupo,تَجَمَّع,Grappe
Notification Body,Notification Body,Organismo de notificación,نص الإشعار,Organisme de notification
Latest Notifications,Latest Notifications,Últimas notificaciones,أحدث الإشعارات,Dernières notifications
Body,Body,Cuerpo,جسم,Corps
Version,Version,Versión,إصدار,Version
App Environment,App Environment,Entorno de la aplicación,بيئة التطبيق,Environnement de l'application
App Debug,App Debug,Depuración de aplicaciones,تصحيح أخطاء التطبيق,Débogage d'application
App Mode,App Mode,Modo aplicación,وضع التطبيق,Mode application
Database Connection,Database Connection,Conexión a la base de datos,اتصال قاعدة البيانات,Connexion à la base de données
Database Host,Database Host,Host de base de datos,مضيف قاعدة البيانات,Hôte de base de données
Database Port,Database Port,Puerto de base de datos,منفذ قاعدة البيانات,Port de base de données
Database Name,Database Name,Nombre de la base de datos,اسم قاعدة البيانات,Nom de la base de données
Database Username,Database Username,Nombre de usuario de la base de datos,اسم مستخدم قاعدة البيانات,Nom d'utilisateur de la base de données
PHP Version,PHP Version,Versión de PHP,إصدار PHP,Version PHP
Laravel Version,Laravel Version,Versión de Laravel,نسخة لارافيل,Version Laravel
Server Software,Server Software,Software de servidor,برنامج الخادم,Logiciel serveur
Server IP Address,Server IP Address,Dirección IP del servidor,عنوان IP الخاص بالخادم,Adresse IP du serveur
Server Protocol,Server Protocol,Protocolo de servidor,بروتوكول الخادم,Protocole du serveur
Timezone,Timezone,Zona horaria,المنطقة الزمنية,Fuseau horaire
Email Send Method*,Email Send Method*,Método de envío de correo electrónico*,طريقة إرسال البريد الإلكتروني*,Méthode d'envoi d'e-mail*
SMTP,SMTP,SMTP,بروتوكول نقل البريد البسيط,SMTP
Send Mail,Send Mail,Enviar correo,إرسال البريد,Envoyer un courrier
Host,Host,Anfitrión,يستضيف,Hôte
Port,Port,Puerto,ميناء,Port
Encryption,Encryption,Cifrado,التشفير,Cryptage
Email Body,Email Body,Cuerpo del correo electrónico,نص البريد الإلكتروني,Corps de l'e-mail
Field Name,Field Name,Nombre del campo,اسم الحقل,Nom du champ
Max File Size (mb),Max File Size (mb),Tamaño máximo de archivo (mb),الحد الأقصى لحجم الملف (ميغابايت),Taille maximale du fichier (Mo)
File Extension,File Extension,Extensión de archivo,امتداد الملف,Extension de fichier
Min Character,Min Character,Carácter mínimo,شخصية مين,Caractère minimum
Max Character,Max Character,Personaje máximo,ماكس كاركتر,Caractère Max
Field Necessity,Field Necessity,Necesidad de campo,ضرورة المجال,Nécessité du terrain
Page Name,Page Name,Nombre de la página,اسم الصفحة,Nom de la page
Add Category,Add Category,Agregar categoría,إضافة فئة,Ajouter une catégorie
Update Category,Update Category,Actualizar categoría,تحديث الفئة,Mettre à jour la catégorie
Category,Category,Categoría,فئة,Catégorie
Tags,Tags,Etiquetas,العلامات,Mots clés
Heading,Heading,Título,عنوان,Titre
Sub Heading,Sub Heading,Subtítulo,العنوان الفرعي,Sous-titre
Button Name,Button Name,Nombre del botón,اسم الزر,Nom du bouton
Button Link,Button Link,Enlace de botón,رابط الزر,Lien du bouton
Add Item,Add Item,Agregar artículo,إضافة عنصر,Ajouter un élément
Edit Item,Edit Item,Editar artículo,تحرير العنصر,Modifier l'élément
Icon,Icon,Icono,رمز,Icône
Announcement Dashboard,Announcement Dashboard,Panel de anuncios,لوحة معلومات الإعلان,Tableau de bord des annonces
Total Category,Total Category,Categoría total,إجمالي الفئة,Catégorie totale
Active Category,Active Category,Categoría activa,الفئة النشطة,Catégorie active
Total Announcement,Total Announcement,Anuncio total,الإعلان الكامل,Annonce totale
Active Announcement,Active Announcement,Anuncio activo,إعلان نشط,Annonce active
Video Link,Video Link,Enlace de vídeo,رابط الفيديو,Lien vidéo
Designation,Designation,Designación,تعيين,Désignation
Comment,Comment,Comentario,تعليق,Commentaire
Update Feedback,Update Feedback,Actualizar comentarios,تحديث التعليقات,Commentaires sur les mises à jour
Star,Star,Estrella,نجم,Étoile
Contact Section,Contact Section,Sección de contacto,قسم الاتصال,Section Contact
Social Links,Social Links,Enlaces sociales,الروابط الاجتماعية,Liens sociaux
Link,Link,Enlace,وصلة,Lien
Edit Glance,Edit Glance,Editar Vistazo,تحرير النظرة,Modifier Coup d'œil
Content,Content,Contenido,محتوى,Contenu
Edit Service,Edit Service,Servicio de edición,خدمة التحرير,Service d'édition
Edit Solution,Edit Solution,Editar solución,تعديل الحل,Modifier la solution
Send Mail to All,Send Mail to All,Enviar correo a todos,إرسال البريد إلى الجميع,Envoyer un courrier à tous
Ticket ID,Ticket ID,Identificación del ticket,معرف التذكرة,ID du billet
Support Ticket,Support Ticket,Ticket de soporte,تذكرة الدعم,Ticket d'assistance
User Type,User Type,Tipo de usuario,نوع المستخدم,Type d'utilisateur
Last Reply,Last Reply,Última respuesta,الرد الأخير,Dernière réponse
Slug,Slug,Babosa,سبيكة,Limace
Add link,Add link,Añadir enlace,إضافة رابط,Ajouter un lien
Are you sure to delete this link?,Are you sure to delete this link?,¿Estás seguro de eliminar este enlace?,هل أنت متأكد من حذف هذا الرابط؟,Êtes-vous sûr de vouloir supprimer ce lien ?
Current Balance,Current Balance,Saldo actual,الرصيد الحالي,Solde actuel
Total Transactions,Total Transactions,Transacciones totales,إجمالي المعاملات,Total des transactions
Receive,Receive,Recibir,يستلم,Recevoir
Total Money Out,Total Money Out,Total de dinero retirado,إجمالي الأموال الخارجة,Total des sorties d'argent
Canceled,Canceled,Cancelado,تم الإلغاء,Annulé
User Overview,User Overview,Descripción general del usuario,نظرة عامة على المستخدم,Présentation de l'utilisateur
Add/Subtract Balance,Add/Subtract Balance,Sumar/Restar saldo,إضافة/طرح الرصيد,Ajouter/Soustraire le solde
Login as Member,Login as Member,Iniciar sesión como miembro,تسجيل الدخول كعضو,Connectez-vous en tant que membre
Email Logs,Email Logs,Registros de correo electrónico,سجلات البريد الإلكتروني,Journaux de courrier électronique
Last Login,Last Login,Último inicio de sesión,آخر تسجيل دخول,Dernière connexion
Information of User,Information of User,Información del Usuario,معلومات المستخدم,Informations de l'utilisateur
Edit KYC,Edit KYC,Editar KYC,تعديل KYC,Modifier KYC
Information of Logs,Information of Logs,Información de Registros,معلومات السجلات,Informations sur les journaux
File not found!,File not found!,¡Archivo no encontrado!,لم يتم العثور على الملف!,Fichier introuvable!
Approve,Approve,Aprobar,يعتمد,Approuver
Reject,Reject,Rechazar,يرفض,Rejeter
KYC Information not submitted yet,KYC Information not submitted yet,Información KYC aún no enviada,لم يتم تقديم معلومات KYC بعد,Les informations KYC n'ont pas encore été soumises
Are you sure to approve,Are you sure to approve,¿Estás seguro de aprobar?,هل أنت متأكد من الموافقة؟,Êtes-vous sûr d'approuver
KYC information.,KYC information.,Información KYC.,معلومات KYC.,Informations KYC.
User Login Logs,User Login Logs,Registros de inicio de sesión de usuario,سجلات تسجيل دخول المستخدم,Journaux de connexion des utilisateurs
SL.,SL.,SL.,س.ل.,SL.
IP,IP,Propiedad intelectual,عنوان IP,propriété intellectuelle
MAC,MAC,IMPERMEABLE,ماك,MAC
Location,Location,Ubicación,موقع,Emplacement
Browser | OS,Browser | OS,Navegador | SO,المتصفح | نظام التشغيل,Navigateur | Système d'exploitation
Login at,Login at,Iniciar sesión en,تسجيل الدخول في,Connectez-vous à
USER,USER,USUARIO,مستخدم,UTILISATEUR
Send,Send,Enviar,يرسل,Envoyer
Mail Sender(Method),Mail Sender(Method),Remitente de correo (método),مرسل البريد (الطريقة),Expéditeur de courrier (méthode)
Site Base Color,Site Base Color,Color base del sitio,لون قاعدة الموقع,Couleur de base du site
Site Secondary Color,Site Secondary Color,Color secundario del sitio,اللون الثانوي للموقع,Couleur secondaire du site
Select Timezone,Select Timezone,Seleccionar zona horaria,حدد المنطقة الزمنية,Sélectionnez le fuseau horaire
Site Name,Site Name,Nombre del sitio,اسم الموقع,Nom du site
Site Title,Site Title,Título del sitio,عنوان الموقع,Titre du site
OTP Expiration,OTP Expiration,Vencimiento de OTP,انتهاء صلاحية OTP,Expiration du mot de passe à usage unique
Web Version,Web Version,Versión web,نسخة الويب,Version Web
Activation Settings,Activation Settings,Configuración de activación,إعدادات التنشيط,Paramètres d'activation
Logo (Light Version),Logo (Light Version),Logotipo (versión ligera),الشعار (النسخة الخفيفة),Logo (version allégée)
Logo (Dark Version),Logo (Dark Version),Logotipo (versión oscura),الشعار (النسخة المظلمة),Logo (version sombre)
Favicon (Light Version),Favicon (Light Version),Favicon (versión ligera),أيقونة مفضلة (الإصدار الخفيف),Favicon (version allégée)
Favicon (Dark Version),Favicon (Dark Version),Favicon (versión oscura),الرمز المفضل (النسخة المظلمة),Favicon (version sombre)
Search Engine Optimization (SEO),Search Engine Optimization (SEO),Optimización de motores de búsqueda (SEO),تحسين محركات البحث (SEO),Optimisation des moteurs de recherche (SEO)
Thumbnail Image:,Thumbnail Image:,Imagen en miniatura:,الصورة المصغرة:,Image miniature :
Social Title,Social Title,Título social,اللقب الاجتماعي,Titre social
Social Description,Social Description,Descripción social,الوصف الاجتماعي,Description sociale
401 - Unauthorized,401 - Unauthorized,401 - No autorizado,401 - غير مصرح به,401 - Non autorisé
Unauthorized...!,Unauthorized...!,No autorizado...!,غير مرخص...!,Non autorisé...!
403 - Forbidden,403 - Forbidden,403 - Prohibido,403 - ممنوع,403 - Interdit
Forbidden...!,Forbidden...!,Prohibido...!,مُحرَّم...!,Interdit...!
404 - Page Not Found,404 - Page Not Found,404 - Página no encontrada,404 - لم يتم العثور على الصفحة,404 - Page non trouvée
Page Not Found...!,Page Not Found...!,Página no encontrada...!,لم يتم العثور على الصفحة...!,Page non trouvée...!
419 - Page Expired,419 - Page Expired,419 - Página caducada,419 - انتهت صلاحية الصفحة,419 - Page expirée
Page Expired...!,Page Expired...!,¡Página expirada...!,انتهت صلاحية الصفحة...!,Page expirée...!
500 - Server Error,500 - Server Error,500 - Error del servidor,500 - خطأ في الخادم,500 - Erreur du serveur
Server Error...!,Server Error...!,¡Error del servidor...!,خطأ في الخادم...!,Erreur du serveur...!
Public,Public,Público,عام,Publique
Login Now,Login Now,Iniciar sesión ahora,تسجيل الدخول الآن,Connectez-vous maintenant
Please submit your KYC information with valid data.,Please submit your KYC information with valid data.,Envíe su información KYC con datos válidos.,يرجى تقديم معلومات KYC الخاصة بك مع بيانات صالحة.,Veuillez soumettre vos informations KYC avec des données valides.
Back to,Back to,Volver a,العودة إلى,Retour à
Copyright,Copyright,Derechos de autor,حقوق الطبع والنشر,Droits d'auteur
Y,Y,Y,ي,Y
All Rights Reserved.,All Rights Reserved.,Reservados todos los derechos.,جميع الحقوق محفوظة.,Tous droits réservés.
Account Authorization,Account Authorization,Autorización de cuenta,تفويض الحساب,Autorisation de compte
Need to verify your account. Please check your mail inbox to get the authorization code,Need to verify your account. Please check your mail inbox to get the authorization code,Necesita verificar su cuenta. Revise su bandeja de entrada para obtener el código de autorización.,يجب التحقق من حسابك. يُرجى مراجعة بريدك الإلكتروني للحصول على رمز التفويض.,Votre compte doit être vérifié. Veuillez consulter votre boîte mail pour obtenir le code d'autorisation.
Authorize,Authorize,Autorizar,تفويض,Autoriser
Password Forgot,Password Forgot,Contraseña olvidada,نسيت كلمة المرور,Mot de passe oublié
Enter your account email or username to verify,Enter your account email or username to verify,Ingrese el correo electrónico o nombre de usuario de su cuenta para verificar,أدخل بريدك الإلكتروني أو اسم المستخدم الخاص بحسابك للتحقق,Saisissez l'adresse e-mail ou le nom d'utilisateur de votre compte pour vérifier
Send Code,Send Code,Enviar código,إرسال الرمز,Envoyer le code
Password Reset,Password Reset,Restablecer contraseña,إعادة تعيين كلمة المرور,Réinitialisation du mot de passe
Reset your password,Reset your password,Restablecer su contraseña,إعادة تعيين كلمة المرور الخاصة بك,Réinitialiser votre mot de passe
Please check your email address to get the OTP (One time password).,Please check your email address to get the OTP (One time password).,Por favor revise su dirección de correo electrónico para obtener la OTP (contraseña de un solo uso).,يرجى التحقق من عنوان بريدك الإلكتروني للحصول على OTP (كلمة مرور لمرة واحدة).,Veuillez vérifier votre adresse e-mail pour obtenir l'OTP (mot de passe à usage unique).
Login Information,Login Information,Información de inicio de sesión,معلومات تسجيل الدخول,Informations de connexion
Please input your username and password and login to your account to get access to your dashboard.,Please input your username and password and login to your account to get access to your dashboard.,Ingrese su nombre de usuario y contraseña e inicie sesión en su cuenta para obtener acceso a su panel de control.,يرجى إدخال اسم المستخدم وكلمة المرور وتسجيل الدخول إلى حسابك للوصول إلى لوحة التحكم الخاصة بك.,Veuillez saisir votre nom d'utilisateur et votre mot de passe et vous connecter à votre compte pour accéder à votre tableau de bord.
Or,Or,O,أو,Ou
Please input your details and register to your account to get access to your dashboard.,Please input your details and register to your account to get access to your dashboard.,Ingrese sus datos y regístrese en su cuenta para obtener acceso a su panel de control.,يرجى إدخال تفاصيلك والتسجيل في حسابك للحصول على إمكانية الوصول إلى لوحة التحكم الخاصة بك.,Veuillez saisir vos coordonnées et vous inscrire à votre compte pour accéder à votre tableau de bord.
I have read agreed with the,I have read agreed with the,He leído y estoy de acuerdo con el,لقد قرأت موافق عليه,J'ai lu et je suis d'accord avec le
"Terms Of Use , Privacy Policy & Warning","Terms Of Use , Privacy Policy & Warning","Condiciones de uso, política de privacidad y advertencias",شروط الاستخدام وسياسة الخصوصية والتحذيرات,"Conditions d'utilisation, politique de confidentialité et avertissement"
Register Now,Register Now,Regístrate ahora,سجل الآن,Inscrivez-vous maintenant
Already Have An Account,Already Have An Account,Ya tengo una cuenta,هل لديك حساب بالفعل,Vous avez déjà un compte
KYC Information,KYC Information,Información KYC,معلومات اعرف عميلك,Informations KYC
Your KYC information is rejected.,Your KYC information is rejected.,Su información KYC es rechazada.,تم رفض معلومات KYC الخاصة بك.,Vos informations KYC sont rejetées.
Verify KYC,Verify KYC,Verificar KYC,التحقق من KYC,Vérifier KYC
Please verify KYC information,Please verify KYC information,Por favor verifique la información KYC,يرجى التحقق من معلومات KYC,Veuillez vérifier les informations KYC
Get Support,Get Support,Obtener soporte,احصل على الدعم,Obtenir de l'aide
Fill up information and verify your KYC.,Fill up information and verify your KYC.,Complete la información y verifique su KYC.,قم بملء المعلومات والتحقق من KYC الخاص بك.,Remplissez les informations et vérifiez votre KYC.
Profile Settings,Profile Settings,Configuración del perfil,إعدادات الملف الشخصي,Paramètres du profil
Change,Change,Cambiar,يتغير,Changement
Support Tickets,Support Tickets,Tickets de soporte,تذاكر الدعم,Tickets d'assistance
Add New Ticket,Add New Ticket,Agregar nuevo ticket,إضافة تذكرة جديدة,Ajouter un nouveau ticket
Search,Search,Buscar,يبحث,Recherche
Transfer Money Charges,Transfer Money Charges,Cargos por transferencia de dinero,رسوم تحويل الأموال,Frais de transfert d'argent
Exchange Money Charges,Exchange Money Charges,Cargos por cambio de moneda,رسوم صرف العملات,Frais de change
Add Money Charge,Add Money Charge,Añadir cargo por dinero,إضافة رسوم مالية,Ajouter des frais d'argent
Money Out Charges,Money Out Charges,Cargos por retiro de dinero,رسوم سحب الأموال,Frais de retrait d'argent
Android App URL,Android App URL,URL de la aplicación de Android,عنوان URL لتطبيق Android,URL de l'application Android
iOS App URL,iOS App URL,URL de la aplicación iOS,عنوان URL لتطبيق iOS,URL de l'application iOS
From Address,From Address,Dirección de remitente,من العنوان,Adresse de l'expéditeur
(Max 5),(Max 5),(Máximo 5),(الحد الأقصى 5),(Max 5)
Announcement Category,Announcement Category,Categoría de anuncio,فئة الإعلان,Catégorie d'annonce
category?,category?,¿categoría?,فئة؟,catégorie?
Remove,Remove,Eliminar,يزيل,Retirer
Category added successfully!,Category added successfully!,¡Categoría agregada exitosamente!,تمت إضافة الفئة بنجاح!,Catégorie ajoutée avec succès !
Category updated successfully!,Category updated successfully!,¡Categoría actualizada exitosamente!,تم تحديث الفئة بنجاح!,Catégorie mise à jour avec succès !
Category status updated successfully!,Category status updated successfully!,¡Estado de la categoría actualizado exitosamente!,تم تحديث حالة الفئة بنجاح!,Le statut de la catégorie a été mis à jour avec succès !
Category deleted successfully!,Category deleted successfully!,¡Categoría eliminada exitosamente!,تم حذف الفئة بنجاح!,Catégorie supprimée avec succès !
Add Announcement,Add Announcement,Agregar anuncio,إضافة إعلان,Ajouter une annonce
Are you sure to delete this announcement?,Are you sure to delete this announcement?,¿Estás seguro de eliminar este anuncio?,هل أنت متأكد من حذف هذا الإعلان؟,Êtes-vous sûr de vouloir supprimer cette annonce ?
Create New Announcement,Create New Announcement,Crear nuevo anuncio,إنشاء إعلان جديد,Créer une nouvelle annonce
Select Category,Select Category,Seleccionar categoría,اختر الفئة,Sélectionnez une catégorie
Announcement title is similar. Please update/change this title,Announcement title is similar. Please update/change this title,"El título del anuncio es similar. Por favor, actualícelo o cámbielo.",عنوان الإعلان مشابه. يُرجى تحديث/تغيير هذا العنوان.,Le titre de l'annonce est similaire. Veuillez le mettre à jour/modifier.
Announcement created successfully!,Announcement created successfully!,¡Anuncio creado exitosamente!,تم إنشاء الإعلان بنجاح!,Annonce créée avec succès !
Announcement status updated successfully!,Announcement status updated successfully!,¡El estado del anuncio se actualizó exitosamente!,تم تحديث حالة الإعلان بنجاح!,Le statut de l'annonce a été mis à jour avec succès !
Announcement deleted successfully!,Announcement deleted successfully!,¡Anuncio eliminado exitosamente!,تم حذف الإعلان بنجاح!,Annonce supprimée avec succès !
Announcement does't exists!,Announcement does't exists!,¡El anuncio no existe!,الإعلان غير موجود!,L'annonce n'existe pas !
Announcement Edit,Announcement Edit,Anuncio Editar,تعديل الإعلان,Annonce Modifier
Announcement updated successfully!,Announcement updated successfully!,¡Anuncio actualizado exitosamente!,تم تحديث الإعلان بنجاح!,Annonce mise à jour avec succès !
Add Tags,Add Tags,Agregar etiquetas,إضافة علامات,Ajouter des balises
Minimum,Minimum,Mínimo,الحد الأدنى,Minimum
Maximum,Maximum,Máximo,الحد الأقصى,Maximum
Fixed,Fixed,Fijado,مُثَبَّت,Fixé
Percent,Percent,Por ciento,النسبة المئوية,Pour cent
Input Text,Input Text,Texto de entrada,إدخال النص,Texte d'entrée
File,File,Archivo,ملف,Déposer
Textarea,Textarea,Área de texto,منطقة النص,Zone de texte
Select,Select,Seleccionar,يختار,Sélectionner
* (Use for make page link (URL)),* (Use for make page link (URL)),* (Utilizar para crear un enlace a la página (URL)),* (استخدم لإنشاء رابط الصفحة (URL)),* (Utiliser pour créer un lien de page (URL))
Supported Currency,Supported Currency,Moneda admitida,العملة المدعومة,Devise prise en charge
Enabled Currency,Enabled Currency,Moneda habilitada,العملة الممكّنة,Devise activée
Currency Type,Currency Type,Tipo de moneda,نوع العملة,Type de devise
Gateway Name,Gateway Name,Nombre de la puerta de enlace,اسم البوابة,Nom de la passerelle
Gateway Title,Gateway Title,Título de puerta de enlace,عنوان البوابة,Titre de la passerelle
Supported Currencies,Supported Currencies,Monedas admitidas,العملات المدعومة,Devises prises en charge
Currency Code,Currency Code,Código de moneda,رمز العملة,Code de devise
Currency Symbol,Currency Symbol,Símbolo de moneda,رمز العملة,Symbole monétaire
Are you sure to delete this,Are you sure to delete this,¿Estás seguro de eliminar esto?,هل أنت متأكد من حذف هذا؟,Êtes-vous sûr de vouloir supprimer ceci
gatewayt,gatewayt,puerta de enlace,بوابة,passerelle
Production,Production,Producción,إنتاج,Production
Sandbox,Sandbox,Salvadera,صندوق الرمل,Bac à sable
"Client ID
","Client ID
",ID de cliente,معرف العميل,"Identifiant client
"
"Secret ID
","Secret ID
",Identificación secreta,معرف سري,"Identification secrète
"
Gateway Environment,Gateway Environment,Entorno de puerta de enlace,بيئة البوابة,Environnement de passerelle
Instruction,Instruction,Instrucción,تعليمات,Instruction
ex: Paypal,ex: Paypal,ej.: Paypal,مثال: باي بال,ex: Paypal
ex: United State Dollar,ex: United State Dollar,ej.: dólar estadounidense,مثال: الدولار الأمريكي,ex : dollar des États-Unis
ex: USD,ex: USD,ej.: USD,مثال: دولار أمريكي,ex: USD
ex: $,ex: $,ej: $,مثال: $,ex: $
SSL,SSL,SSL,SSL,SSL
TLS,TLS,TLS,بروتوكول TLS,TLS
LTR,LTR,Largo plazo,LTR,LTR
RTL,RTL,RTL,ار تي ال,RTL
Vendor,Vendor,Proveedor,بائع,Fournisseur
About Our CarBo,About Our CarBo,Acerca de nuestro CarBo,نبذة عن كاربو,À propos de notre CarBo
FAQ,FAQ,Preguntas frecuentes,التعليمات,FAQ
FAQ Section,FAQ Section,Sección de preguntas frecuentes,قسم الأسئلة الشائعة,Section FAQ
Our Service,Our Service,Nuestro servicio,خدمتنا,Notre service
Services,Services,Servicios,خدمات,Services
Blog,Blog,Blog,مدونة,Blog
Blog Section,Blog Section,Sección del blog,قسم المدونة,Section Blog
Blog Details,Blog Details,Detalles del blog,تفاصيل المدونة,Détails du blog
Tags,Tags,Etiquetas,العلامات,Mots clés
Categories,Categories,Categorías,فئات,Catégories
Recent Posts,Recent Posts,Entradas recientes,المشاركات الاخيرة,Articles récents
Section Title,Section Title,Título de la sección,عنوان القسم,Titre de la section
Contact Us,Contact Us,Contáctenos,اتصل بنا,Contactez-nous
Contact,Contact,Contacto,اتصال,Contact
Name,Name,Nombre,اسم,Nom
Email,Email,Correo electrónico,بريد إلكتروني,E-mail
Message,Message,Mensaje,رسالة,Message
Find Car,Find Car,Encuentra coche,البحث عن سيارة,Trouver une voiture
Registration,Registration,Registro,تسجيل,Inscription
Email Address,Email Address,Dirección de correo electrónico,عنوان البريد الإلكتروني,Adresse email
Privacy Policy,Privacy Policy,política de privacidad,سياسة الخصوصية,politique de confidentialité
Terms Of Use,Terms Of Use,Condiciones de uso,شروط الاستخدام,Conditions d'utilisation
Enter Email,Enter Email,Introducir correo electrónico,أدخل البريد الإلكتروني,Entrez l'e-mail
Enter Password,Enter Password,Introducir contraseña,أدخل كلمة المرور,Entrez le mot de passe
We sent a 6 digit code here,We sent a 6 digit code here,Enviamos un código de 6 dígitos aquí,لقد أرسلنا رمزًا مكونًا من 6 أرقام هنا,Nous avons envoyé un code à 6 chiffres ici
You can resend the code after,You can resend the code after,Puedes reenviar el código después,يمكنك إعادة إرسال الرمز بعد ذلك,Vous pouvez renvoyer le code après
History,History,Historia,تاريخ,Histoire
Please contact our support,Please contact our support,Por favor contacte con nuestro soporte,يرجى الاتصال بدعمنا,Veuillez contacter notre support
Delate Account,Delate Account,Cuenta retrasada,حذف الحساب,Supprimer le compte
Are you sure to delete your account?,Are you sure to delete your account?,¿Estás seguro de eliminar tu cuenta?,هل أنت متأكد من حذف حسابك؟,Êtes-vous sûr de vouloir supprimer votre compte ?
If you do not think you will use,If you do not think you will use,Si no crees que lo usarás,إذا كنت لا تعتقد أنك سوف تستخدم,Si vous ne pensez pas que vous l'utiliserez
"again and like your account deleted. Keep in mind you will not be able to reactivate your account or retrieve any of the content or information you have added. If you would still like your account deleted, click “Delete Account”.?","again and like your account deleted. Keep in mind you will not be able to reactivate your account or retrieve any of the content or information you have added. If you would still like your account deleted, click “Delete Account”.?","De nuevo y deseas que se elimine tu cuenta. Recuerda que no podrás reactivarla ni recuperar el contenido ni la información que hayas añadido. Si aún así deseas eliminar tu cuenta, haz clic en ""Eliminar cuenta"".","مرة أخرى، وكأن حسابك محذوف. تذكر أنك لن تتمكن من إعادة تفعيل حسابك أو استعادة أي محتوى أو معلومات أضفتها. إذا كنت لا تزال ترغب في حذف حسابك، فانقر على ""حذف الحساب"".","Vous souhaitez supprimer votre compte. Notez que vous ne pourrez plus le réactiver ni récupérer le contenu ou les informations que vous avez ajoutés. Si vous souhaitez toujours supprimer votre compte, cliquez sur « Supprimer le compte »."
Support Type,Support Type,Tipo de soporte,نوع الدعم,Type de support
User,User,Usuario,مستخدم,Utilisateur
Login as Vendor,Login as Vendor,Iniciar sesión como vendedor,تسجيل الدخول كبائع,Connectez-vous en tant que fournisseur
Join as Vendor,Join as Vendor,Unirse como vendedor,انضم كبائع,Rejoignez-nous en tant que vendeur
My Car,My Car,Mi coche,سيارتي,Ma voiture
Forgot Password?,Forgot Password?,¿Has olvidado tu contraseña?,هل نسيت كلمة السر؟,Mot de passe oublié?
Vendor Profile,Vendor Profile,Perfil del proveedor,ملف تعريف البائع,Profil du fournisseur
Vendor Activation Settings,Vendor Activation Settings,Configuración de activación del proveedor,إعدادات تنشيط البائع,Paramètres d'activation du fournisseur
Vendor Email Verification,Vendor Email Verification,Verificación de correo electrónico del proveedor,التحقق من بريد البائع الإلكتروني,Vérification de l'e-mail du fournisseur
Vendor Care,Vendor Care,Atención al proveedor,رعاية البائعين,Service aux fournisseurs
Active Vendor,Active Vendor,Proveedor activo,البائع النشط,Fournisseur actif
All Vendor,All Vendor,Todos los proveedores,جميع البائعين,Tous les fournisseurs
Email To Vendor,Email To Vendor,Correo electrónico al proveedor,البريد الإلكتروني إلى البائع,Envoyer un e-mail au fournisseur
Vendor Login Logs,Vendor Login Logs,Registros de inicio de sesión del proveedor,سجلات تسجيل دخول البائعين,Journaux de connexion des fournisseurs
All Vendors,All Vendors,Todos los proveedores,جميع البائعين,Tous les fournisseurs
